"Title","US Gross","Worldwide Gross","US DVD Sales","Production Budget","Release Date","MPAA Rating","Running Time min","Distributor","Source","Major Genre","Creative Type","Director","Rotten Tomatoes Rating","IMDB Rating","IMDB Votes"
"Beyond the Mat","2047570","2047570","null","500000","Oct 22 1999","R","null","Universal","Based on Real Life Events","Documentary","Factual","null","82","7.2","4067"
"The Benchwarmers","59843754","64843754","32764806","35000000","Apr 07 2006","PG-13","null","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","Dennis Dugan","12","5.4","17824"
"The Last Airbender","131591957","290191957","null","150000000","Jul 01 2010","null","103","Paramount Pictures","Based on TV","Adventure","Fantasy","M. Night Shyamalan","7","4.4","16600"
"Beowulf","82195215","194995215","35961910","150000000","Nov 16 2007","PG-13","115","Paramount Pictures","Based on Book/Short Story","Adventure","Fantasy","Robert Zemeckis","70","6.6","62513"
"The Importance of Being Earnest","8378141","8378141","null","15000000","May 22 2002","PG","null","Miramax","Based on Play","Comedy","Historical Fiction","null","58","6.7","9345"
"Beauty Shop","36351350","38351350","null","25000000","Mar 30 2005","PG-13","null","MGM","Spin-Off","Comedy","Contemporary Fiction","Bille Woodruff","38","5.3","5468"
"Better Luck Tomorrow","3802390","3809226","null","250000","Apr 11 2003","R","null","Paramount Pictures","Original Screenplay","Drama","Contemporary Fiction","Justin Lin","null","7.1","5959"
"Big Fat Liar","47811275","52375275","null","15000000","Feb 08 2002","PG","88","Universal","Original Screenplay","Comedy","Contemporary Fiction","Shawn Levy","43","5.2","9877"
"Big Fish","66432867","123432867","null","70000000","Dec 10 2003","PG-13","125","Sony Pictures","Based on Book/Short Story","Drama","Fantasy","Tim Burton","77","8.1","141099"
"Before Sunset","5792822","11293790","null","2000000","Jul 02 2004","R","null","Warner Independent","Original Screenplay","Drama","Contemporary Fiction","Richard Linklater","95","8","45535"
"The Big Hit","27066941","27066941","null","13000000","Apr 24 1998","R","91","Sony Pictures","Original Screenplay","Action","Contemporary Fiction","null","41","5.8","14157"
"Birthday Girl","4919896","8130727","null","13000000","Feb 01 2002","R","null","Miramax","Original Screenplay","Romantic Comedy","Contemporary Fiction","null","null","6","13366"
"The Big Lebowski","17498804","46189568","null","15000000","Mar 06 1998","R","127","Gramercy","Original Screenplay","Comedy","Contemporary Fiction","Joel Coen","78","8.2","177960"
"Big Momma's House","117559438","173559438","null","33000000","Jun 02 2000","PG-13","98","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","Raja Gosnell","30","4.7","21318"
"Black Hawk Down","108638745","173638745","970318","95000000","Dec 28 2001","R","144","Sony Pictures","Based on Book/Short Story","Action","Dramatization","Ridley Scott","76","7.7","98653"
"Eye of the Beholder","16500786","18260865","null","15000000","Jan 28 2000","R","null","Destination Films","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","null","4.6","9992"
"The Big Bounce","6471394","6626115","null","50000000","Jan 30 2004","PG-13","null","Warner Bros.","Based on Book/Short Story","Comedy","Contemporary Fiction","null","null","4.8","9195"
"Big Trouble","7262288","8488871","null","45000000","Apr 05 2002","PG-13","null","Walt Disney Pictures","Based on Book/Short Story","Comedy","Contemporary Fiction","Barry Sonnenfeld","48","6.3","11610"
"Billy Elliot","21995263","109280263","null","5000000","Oct 13 2000","PG-13","110","Focus Features","Original Screenplay","Drama","Contemporary Fiction","Stephen Daldry","85","7.7","38403"
"Bicentennial Man","58220776","87420776","null","90000000","Dec 17 1999","PG","132","Walt Disney Pictures","Based on Book/Short Story","Drama","Science Fiction","Chris Columbus","38","6.4","28827"
"Birth","5005899","14603001","null","20000000","Oct 29 2004","R","null","New Line","Original Screenplay","Drama","Contemporary Fiction","null","39","6.3","25"
"Becoming Jane","18663911","37304637","8061456","16500000","Aug 03 2007","PG","120","Miramax","Based on Real Life Events","Romantic Comedy","Dramatization","null","58","7","15167"
"Bridget Jones: The Edge Of Reason","40203020","263894551","null","50000000","Nov 12 2004","R","108","Universal","Based on Book/Short Story","Romantic Comedy","Contemporary Fiction","null","null","5.6","26325"
"Bridget Jones's Diary","71500556","281527158","null","25000000","Apr 13 2001","R","97","Miramax","Based on Book/Short Story","Romantic Comedy","Contemporary Fiction","null","80","6.8","58213"
"The Bank Job","30060660","63060660","17254299","20000000","Mar 07 2008","R","null","Lionsgate","Based on Real Life Events","Thriller/Suspense","Dramatization","Roger Donaldson","79","7.5","50848"
"Blade","70141876","131237688","null","45000000","Aug 21 1998","R","121","New Line","Based on Comic/Graphic Novel","Action","Super Hero","Stephen Norrington","55","7","64896"
"The Blair Witch Project","140539099","248300000","null","600000","Jul 14 1999","R","87","Artisan","Original Screenplay","Horror","Contemporary Fiction","null","85","6.2","87629"
"Blast from the Past","26613620","26613620","null","35000000","Feb 12 1999","PG-13","111","New Line","Original Screenplay","Comedy","Contemporary Fiction","Hugh Wilson","60","6.4","23243"
"Blade 2","81676888","154338601","null","54000000","Mar 22 2002","R","117","New Line","Based on Comic/Graphic Novel","Action","Super Hero","Guillermo Del Toro","null","5.5","90"
"Blade: Trinity","52397389","132397389","null","65000000","Dec 08 2004","R","113","New Line","Based on Comic/Graphic Novel","Action","Super Hero","David Goyer","null","5.7","42477"
"Blades of Glory","118594548","145594548","49219041","61000000","Mar 30 2007","PG-13","94","Paramount Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","69","6.5","51929"
"The Blind Side","255959475","301759475","86139819","35000000","Nov 20 2009","PG-13","null","Warner Bros.","Based on Factual Book/Article","Drama","Dramatization","null","66","7.7","42320"
"Blood Work","26199517","26199517","null","50000000","Aug 09 2002","R","110","Warner Bros.","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","Clint Eastwood","54","6.3","16751"
"Zwartboek","4398392","4398392","null","22000000","Apr 06 2007","R","null","Sony Pictures Classics","Based on Real Life Events","Thriller/Suspense","Historical Fiction","Paul Verhoeven","null","8","27288"
"Black Christmas","16235738","16235738","28729107","9000000","Dec 25 2006","R","90","MGM","Remake","Horror","Contemporary Fiction","null","15","4.3","10424"
"Black Snake Moan","9396870","9396870","12540785","15000000","Mar 02 2007","R","115","Paramount Vantage","Original Screenplay","Drama","Contemporary Fiction","null","66","7.1","28145"
"Black Water Transit","0","0","null","35000000","Dec 31 2008","null","null","null","Based on Book/Short Story","Drama","Contemporary Fiction","null","null","null","null"
"Blindness","3073392","14542658","null","25000000","Oct 03 2008","R","null","Miramax","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","Fernando Meirelles","42","6.6","25508"
"Legally Blonde 2: Red, White & Blonde","90639088","125339088","null","25000000","Jul 02 2003","PG","95","MGM","Original Screenplay","Comedy","Contemporary Fiction","null","null","null","null"
"Legally Blonde","96493426","141743426","null","18000000","Jul 13 2001","PG-13","97","MGM","Original Screenplay","Comedy","Contemporary Fiction","Robert Luketic","67","6.2","44128"
"Blood and Wine","1083350","1083350","null","26000000","Feb 21 1997","R","null","Fox Searchlight","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Bob Rafelson","61","6.1","4761"
"Blow","52990775","83282296","null","30000000","Apr 06 2001","R","123","New Line","Based on Book/Short Story","Drama","Dramatization","Ted Demme","54","7.4","70218"
"Ballistic: Ecks vs. Sever","14294842","14294842","null","70000000","Sep 20 2002","R","null","Warner Bros.","Original Screenplay","Action","Contemporary Fiction","null","null","3.4","11112"
"Blue Crush","40118420","51327420","null","30000000","Aug 16 2002","PG-13","105","Universal","Based on Magazine Article","Drama","Contemporary Fiction","null","62","5.5","11699"
"Bamboozled","2185266","2373937","null","10000000","Oct 06 2000","R","null","New Line","Original Screenplay","Drama","Contemporary Fiction","Spike Lee","47","6.3","5958"
"A Beautiful Mind","170708996","316708996","null","78000000","Dec 21 2001","PG-13","135","Universal","Based on Magazine Article","Drama","Dramatization","Ron Howard","78","8","126067"
"Big Momma's House 2","70165972","137047376","21234176","40000000","Jan 27 2006","PG-13","null","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","null","6","4","11368"
"Story of Bonnie and Clyde, The","0","0","null","20000000","Dec 31 1969","null","null","null","null","null","null","null","null","null","null"
"The Boondock Saints","30471","250000","7468574","7000000","Jan 21 2000","R","null","Indican Pictures","Original Screenplay","Action","null","null","19","7.8","86172"
"Bandidas","0","10496317","7921142","35000000","Sep 22 2006","PG-13","null","20th Century Fox","Original Screenplay","Western","Historical Fiction","null","62","5.6","12103"
"Bandits","41523271","71523271","null","75000000","Oct 12 2001","PG-13","123","MGM","Original Screenplay","Comedy","Contemporary Fiction","Barry Levinson","63","6.5","30732"
"Bobby","11242801","20597806","12345494","14000000","Nov 17 2006","R","120","MGM","Based on Real Life Events","Drama","Dramatization","Emilio Estevez","46","7.1","23262"
"The Book of Eli","94835059","146452390","36862324","80000000","Jan 15 2010","R","null","Warner Bros.","Original Screenplay","Action","Science Fiction","null","47","6.9","47733"
"Boogeyman","46752382","67192859","null","20000000","Feb 04 2005","PG-13","null","Sony/Screen Gems","Original Screenplay","Horror","Contemporary Fiction","null","13","3.9","13901"
"Bolt","114053579","313953579","82600642","150000000","Nov 21 2008","PG","null","Walt Disney Pictures","Original Screenplay","Comedy","Kids Fiction","null","88","7.4","32473"
"The Other Boleyn Girl","26814957","72944278","8245298","40000000","Feb 29 2008","PG-13","null","Sony Pictures","Based on Book/Short Story","Drama","Historical Fiction","null","41","6.7","26198"
"The Bone Collector","66488090","151463090","null","48000000","Nov 05 1999","R","118","Universal","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","Phillip Noyce","27","6.3","46961"
"Bones","7316658","8378853","null","10000000","Oct 24 2001","R","null","New Line","Original Screenplay","Horror","Contemporary Fiction","null","22","3.9","3524"
"Bon Voyage","2353728","8361736","null","20000000","Mar 19 2004","PG-13","null","Sony Pictures","Original Screenplay","Comedy","Historical Fiction","null","76","6.5","622"
"Boogie Nights","26410771","43111725","null","15000000","Oct 10 1997","R","152","New Line","Original Screenplay","Drama","Historical Fiction","Paul Thomas Anderson","92","7.9","70962"
"Borat","128505958","261572744","62661576","18000000","Nov 03 2006","R","83","20th Century Fox","Based on TV","Comedy","Contemporary Fiction","Larry Charles","null","7.7","3612"
"The Bourne Identity","121468960","213300000","null","60000000","Jun 14 2002","PG-13","110","Universal","Based on Book/Short Story","Action","Contemporary Fiction","Doug Liman","82","7.7","122597"
"The Bourne Supremacy","176087450","288587450","null","85000000","Jul 23 2004","PG-13","108","Universal","Based on Book/Short Story","Action","Contemporary Fiction","Paul Greengrass","81","7.6","104614"
"The Bourne Ultimatum","227471070","442161562","123314592","130000000","Aug 03 2007","PG-13","114","Universal","Based on Book/Short Story","Action","Contemporary Fiction","Paul Greengrass","93","8.2","146025"
"The Borrowers","22619589","54045832","null","29000000","Feb 13 1998","PG","83","Polygram","Based on Book/Short Story","Comedy","Fantasy","Peter Hewitt","null","5.6","4340"
"My Boss's Daughter","15549702","15549702","null","14000000","Aug 22 2003","PG-13","null","Miramax/Dimension","Original Screenplay","Romantic Comedy","Contemporary Fiction","David Zucker","9","4.3","10919"
"Bounce","36779296","53399300","null","35000000","Nov 17 2000","PG-13","106","Miramax","Original Screenplay","Drama","Contemporary Fiction","null","51","5.5","10702"
"Bowling for Columbine","21576018","58576018","null","3000000","Oct 11 2002","R","null","MGM","Based on Real Life Events","Documentary","Factual","Michael Moore","96","8.2","76928"
"Boys Don't Cry","11540607","20741000","null","2000000","Oct 08 1999","R","null","Fox Searchlight","Original Screenplay","Drama","Dramatization","Kimberly Peirce","88","7.6","34435"
"The Boy in the Striped Pyjamas","9030581","39830581","9647546","12500000","Nov 07 2008","PG-13","94","Miramax","Based on Book/Short Story","Drama","Historical Fiction","null","null","7.8","21683"
"Bulletproof Monk","23010607","23010607","null","52000000","Apr 16 2003","PG-13","null","MGM","Based on Comic/Graphic Novel","Action","Fantasy","null","22","5.2","17130"
"Heartbreakers","40334024","57753825","null","38000000","Mar 23 2001","PG-13","124","MGM","Original Screenplay","Comedy","Contemporary Fiction","null","52","6.2","20962"
"Bride & Prejudice","6601079","22064531","null","7000000","Feb 11 2005","PG-13","null","Miramax","Based on Book/Short Story","Musical","Contemporary Fiction","Gurinder Chadha","null","6.2","9442"
"Beyond Borders","4426297","11427090","null","60000000","Oct 24 2003","R","null","Paramount Pictures","Original Screenplay","Drama","Historical Fiction","Martin Campbell","14","6.2","9575"
"Bride Wars","58715510","115150424","29943338","30000000","Jan 09 2009","PG","null","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","null","12","5","15762"
"Breakfast of Champions","178287","178287","null","12000000","Sep 17 1999","R","null","Walt Disney Pictures","Based on Book/Short Story","Comedy","null","Alan Rudolph","25","4.3","5033"
"Brigham City","852206","852206","null","1000000","Apr 06 2001","PG-13","null","Excel Entertainment","Original Screenplay","Thriller/Suspense","null","null","71","7.1","758"
"Brick","2075743","3918941","5013655","450000","Mar 31 2006","R","null","Focus/Rogue Pictures","Original Screenplay","Drama","Contemporary Fiction","null","null","7.5","37204"
